"ID de registro","Nombre de Línea de OT","Punto de venta.id","Punto de venta"
zcrm_707987000001926337,"Europa Cita, OT, 30217, CC CITA, CC Cita, Av. de Francia, 35100 Maspalomas, Las Palmas. Local 60-70, bdabbaca9a",zcrm_707987000000584832,"Europa Cita"
zcrm_707987000001926338,"La Rosa Arcade, OT, 30217, SANTIAGO, Arcade-CC Europa, local 7-BC, 2e87402a10",zcrm_707987000000584875,"La Rosa Arcade"
zcrm_707987000001926339,"Perfumes.es Sun Beach, OT, 30217, FAÑABE, C/ Londres 6, C. C. Sol Sun Beach, 38660 Playa Fañabe, Adeje, 6eba2cfb4b",zcrm_707987000000584916,"Perfumes.es Sun Beach"
zcrm_707987000001926340,"Sam Pto. del Carmen, OT, 30217, PUERTO DEL CARMEN, Av. de las Playas, 8, 35510 Tías, Las Palmas, 7085ee54cc",zcrm_707987000000584937,"Sam Pto. del Carmen"
zcrm_707987000001926341,"Dalia 14, OT, 30217, PLAYA BLANCA, C. Limones, 20, 35570 Playa Blanca, Las Palmas, 451952bab0",zcrm_707987000000584968,"Dalia 14"
zcrm_707987000001926342,"Sabina Rubicón, OT, 30217, PLAYA BLANCA, Marina Rubicón, C. el Berrugo, 2, 48b, 35570, Las Palmas, 925f5e621c",zcrm_707987000000596307,"Sabina Rubicón"
zcrm_707987000001926343,"Esennia Oasis, OT, 30217, VARADERO, CC Oasis Varadero, 20757a42b5",zcrm_707987000000596344,"Esennia Oasis"
zcrm_707987000001926344,"Palace Parfums Cristóbal, OT, 30217, SANTIAGO, Bungalow Parque Cristobal ,Avda Rafael Puig Llivin, ad93f5e93f",zcrm_707987000000596450,"Palace Parfums Cristóbal"
zcrm_707987000001926345,"Grupo Lis - Lis Center II, OT, 30217, FAÑABE, C. Lisboa, 2, 38660 Costa Adeje, CC Gran Sur, 85e8be555d",zcrm_707987000000596477,"Grupo Lis - Lis Center II"
zcrm_707987000001926346,"Palace Parfums Santiago III, OT, 30217, ADEJE, C.C. Parque Santiago III. Avda. Las Américas, 38650. Arona, Santa Cruz de Tenerife. Local 41., ab128b480b",zcrm_707987000000596814,"Palace Parfums Santiago III"
zcrm_707987000001926606,"GRUPO LIS- LIS VII - Plaza Duque, OT, 30217, FAÑABE, C.C. Plaza del Duque. C. Londres, 38660 Costa Adeje, Sta. C. de Tenerife, Local 10, eb65a438d0",zcrm_707987000000596862,"GRUPO LIS- LIS VII - Plaza Duque"
zcrm_707987000001926607,"Dalia 21, OT, 30217, JANDIA, Centro Comercial Bahia Costa Calma, C. Punta de los Molinillos, 4, 35627 Costa Calma, Las Palmas, 9b55f4187f",zcrm_707987000000596881,"Dalia 21"
zcrm_707987000001926608,"Sabina Imeldo, OT, 30217, SANTA CRUZ, C/Imeldo Seris, nº 56, 1ecb8b09fc",zcrm_707987000000597392,"Sabina Imeldo"
zcrm_707987000001926609,"Grupo Lis IX, OT, 30217, FAÑABE, C.C. Plaza Fañabé, local 245-246, b4914bc1e1",zcrm_707987000000599505,"Grupo Lis IX"
zcrm_707987000001926610,"Corte Ingles 3 de Mayo, OT, 30218, SANTA CRUZ, Av. Tres de Mayo,7. 38003. Santa Cruz de Tenerife., ef0888e18a",zcrm_707987000002101173,"Corte Ingles 3 de Mayo"
zcrm_707987000001926611,"Corte Ingles 3 de Mayo, OT, 30218, SANTA CRUZ, Av. Tres de Mayo,7. 38003. Santa Cruz de Tenerife., 83f33a5b83",zcrm_707987000002101173,"Corte Ingles 3 de Mayo"
zcrm_707987000001926612,"Sabina Casino, OT, 30219, PUERTO DEL CARMEN, Av. de las Playas, esquina c/chalana, 35510 Puerto del Carmen, Las Palmas, 65b1fc102a",zcrm_707987000000597914,"Sabina Casino"
zcrm_707987000001926613,"Dalia 13, OT, 30220, PUERTO DEL CARMEN, Fariones Avda de Las Playas, nº 2 Local 4-A, 341c02a09a",zcrm_707987000000584804,"Dalia 13"
zcrm_707987000001926614,"Dalia 14, OT, 30220, PLAYA BLANCA, C. Limones, 20, 35570 Playa Blanca, Las Palmas, 4742062ed1",zcrm_707987000000584968,"Dalia 14"
zcrm_707987000001926615,"Dalia 15, OT, 30220, CORRALEJO, Av. Ntra. Sra. del Carmen, 68, 35660 Corralejo, Las Palmas, ed3211ddf4",zcrm_707987000000599488,"Dalia 15"
zcrm_707987000001926616,"Dalia 24, OT, 30220, SANTA CRUZ, C. del Castillo, 16, 38002 Santa Cruz de Tenerife, ebf5f0dcc1",zcrm_707987000000597827,"Dalia 24"
zcrm_707987000001926617,"Dalia 27, OT, 30220, LA LAGUNA, C/Herradores, 58, 3312528a5a",zcrm_707987000000599474,"Dalia 27"
zcrm_707987000001926618,"Esennia Oasis, OT, 30220, VARADERO, CC Oasis Varadero, d7c7e68c96",zcrm_707987000000596344,"Esennia Oasis"
zcrm_707987000001926619,"Dalia 3 (Las Cucharas), OT, 30220, COSTA TEGUISE, Av. de las Islas Canarias, 14, 35509 Costa Teguise, Las Palmas, 12e1660916",zcrm_707987000000584803,"Dalia 3 (Las Cucharas)"
zcrm_707987000001926620,"Dalia 18, OT, 30220, JANDIA, Avenida del saladar, Centro Comercial Cosmo, local 183, 35625, Las Palmas, 9612471234",zcrm_707987000000596882,"Dalia 18"
zcrm_707987000001926621,"Dalia 14, OT, 30221, PLAYA BLANCA, C. Limones, 20, 35570 Playa Blanca, Las Palmas, 705b7847fb",zcrm_707987000000584968,"Dalia 14"
zcrm_707987000001926622,"Dalia 14, OT, 30221, PLAYA BLANCA, C. Limones, 20, 35570 Playa Blanca, Las Palmas, 1455ca2c94",zcrm_707987000000584968,"Dalia 14"
zcrm_707987000001926623,"Dalia 14, OT, 30221, PLAYA BLANCA, C. Limones, 20, 35570 Playa Blanca, Las Palmas, 07030431bb",zcrm_707987000000584968,"Dalia 14"
zcrm_707987000001926624,"Esennia Meloneras, OT, 30222, VARADERO, C. Mar Mediterráneo, P38, 35100 Maspalomas, Las Palmas, c5e4bcef7b",zcrm_707987000000584821,"Esennia Meloneras"
zcrm_707987000001926625,"Lys, OT, 30223, PUERTO, C/ Luis Morote, 10-12, (esquina C/ Albareda), 4963ead56c",zcrm_707987000000597916,Lys
zcrm_707987000001926626,"Lys, OT, 30223, PUERTO, C/ Luis Morote, 10-12, (esquina C/ Albareda), 82a8d263a8",zcrm_707987000000597916,Lys
zcrm_707987000001926627,"Primor La Laguna, OT, 30224, 6524684492",zcrm_707987000004036055,"Primor La Laguna"
